mbr_id,sid,bgn_dt,stg_cd,thma_nm,step_nm,stg_nm,dtl_cn,try_no,lrn_prgs_sts_cd
MPID0225100025733,mathpd29617674374427801,2021-08-22,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC02
MPID0420140036805,mathpd31700971195379325,2021-09-15,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0129050016615,mathpd28488741750880018,2021-08-09,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0204130019760,mathpd28470027567329160,2021-08-09,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0729130048717,mathpd31615604139158913,2021-09-14,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC04
MPID0203100018443,mathpd30020372363679454,2021-08-27,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0120060009320,mathpd28306138243701551,2021-08-07,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0330100032185,mathpd27363819538306060,2021-07-27,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,2,LPSC04
MPID0120060009320,mathpd28564272725429013,2021-08-10,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC04
MPID0319100030328,mathpd27558589458185140,2021-07-29,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC02
MPID0319100030328,mathpd27558697847043670,2021-07-29,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,2,LPSC03
MPID0319100030328,mathpd27558780785273101,2021-07-29,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,3,LPSC03
MPID0330100033689,mathpd29256477125158669,2021-08-18,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0727100048264,mathpd27530782850090511,2021-07-29,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0129050016615,mathpd27886252400554358,2021-08-02,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC02
MPID0129050016615,mathpd27886354653800961,2021-08-02,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,2,LPSC04
