stg_cd,qst_cd,text_cn,qst_cn,qst_cn1,math_smb1,qst_cn2,math_smb2,qst_cn3,boxed_cransr
E17_0_1,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,X,1,=,□,2
E17_0_2,E17010001a,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,X,1,=,□,2
E18_0_1,E17010001b,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,X,1,=,□,2
E18_0_2,E17010001c,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,X,1,=,□,2
E19_0_1,E17010001d,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,X,1,=,□,2
E19_0_2,E17010001e,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,X,1,=,□,2
E17_0_1,E17010002,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},2,X,2,=,□,4
E17_0_2,E17010002a,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},2,X,2,=,□,4
E18_0_1,E17010002b,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},2,X,2,=,□,4
E18_0_2,E17010002c,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},2,X,2,=,□,4
E19_0_1,E17010002d,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},2,X,2,=,□,4
E19_0_2,E17010002e,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},2,X,2,=,□,4
E20_0_1,E17010002f,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},2,X,2,=,□,4
E20_0_2,E17010002g,다음을 계산하세요.,2 \times 2 = \boxed{\phantom{4}},2,X,2,=,□,4
E17_0_1,E17010003,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},2,X,3,=,□,6
E17_0_2,E17010003a,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},2,X,3,=,□,6
E18_0_1,E17010003b,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},2,X,3,=,□,6
E18_0_2,E17010003c,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},2,X,3,=,□,6
E19_0_1,E17010003d,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},2,X,3,=,□,6
E19_0_2,E17010003e,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},2,X,3,=,□,6
E20_0_1,E17010003f,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},2,X,3,=,□,6
E20_0_2,E17010003g,다음을 계산하세요.,2 \times 3 = \boxed{\phantom{6}},2,X,3,=,□,6
E17_0_1,E17010004,다음을 계산하세요.,2 \times 4 = \boxed{\phantom{8}},2,X,4,=,□,8
E17_0_2,E17010004a,다음을 계산하세요.,2 \times 4 = \boxed{\phantom{8}},2,X,4,=,□,8
E18_0_1,E17010004b,다음을 계산하세요.,2 \times 4 = \boxed{\phantom{8}},2,X,4,=,□,8
E18_0_2,E17010004c,다음을 계산하세요.,2 \times 4 = \boxed{\phantom{8}},2,X,4,=,□,8
E19_0_1,E17010004d,다음을 계산하세요.,2 \times 4 = \boxed{\phantom{8}},2,X,4,=,□,8
E19_0_2,E17010004e,다음을 계산하세요.,2 \times 4 = \boxed{\phantom{8}},2,X,4,=,□,8
E20_0_1,E17010004f,다음을 계산하세요.,2 \times 4 = \boxed{\phantom{8}},2,X,4,=,□,8
E20_0_2,E17010004g,다음을 계산하세요.,2 \times 4 = \boxed{\phantom{8}},2,X,4,=,□,8
E17_0_1,E17010005,다음을 계산하세요.,2 \times 5 = \boxed{\phantom{10}},2,X,5,=,□,10
E17_0_2,E17010005a,다음을 계산하세요.,2 \times 5 = \boxed{\phantom{10}},2,X,5,=,□,10
E18_0_1,E17010005b,다음을 계산하세요.,2 \times 5 = \boxed{\phantom{10}},2,X,5,=,□,10
E18_0_2,E17010005c,다음을 계산하세요.,2 \times 5 = \boxed{\phantom{10}},2,X,5,=,□,10
E19_0_1,E17010005d,다음을 계산하세요.,2 \times 5 = \boxed{\phantom{10}},2,X,5,=,□,10
E19_0_2,E17010005e,다음을 계산하세요.,2 \times 5 = \boxed{\phantom{10}},2,X,5,=,□,10
E20_0_1,E17010005f,다음을 계산하세요.,2 \times 5 = \boxed{\phantom{10}},2,X,5,=,□,10
E20_0_2,E17010005g,다음을 계산하세요.,2 \times 5 = \boxed{\phantom{10}},2,X,5,=,□,10
E17_0_1,E17010006,다음을 계산하세요.,2 \times 6 = \boxed{\phantom{12}},2,X,6,=,□,12
E17_0_2,E17010006a,다음을 계산하세요.,2 \times 6 = \boxed{\phantom{12}},2,X,6,=,□,12
E18_0_1,E17010006b,다음을 계산하세요.,2 \times 6 = \boxed{\phantom{12}},2,X,6,=,□,12
E18_0_2,E17010006c,다음을 계산하세요.,2 \times 6 = \boxed{\phantom{12}},2,X,6,=,□,12
E19_0_1,E17010006d,다음을 계산하세요.,2 \times 6 = \boxed{\phantom{12}},2,X,6,=,□,12
E19_0_2,E17010006e,다음을 계산하세요.,2 \times 6 = \boxed{\phantom{12}},2,X,6,=,□,12
