mbr_id,sid,row_dt,stg_cd,qst_no,qst_cd,text_cn,qst_cn,qst_cransr,qst_cransr_yn,qst_expl_scond
MPID0119040005879,mathpd31181991580090299,2021-09-09,E17_0_1,19,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,3800
MPID0120050010343,mathpd27300776485470838,2021-07-26,E17_0_1,6,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2600
MPID0120060009320,mathpd28564272725429013,2021-08-10,E17_0_1,8,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2300
MPID0120060011395,mathpd26779761145565745,2021-07-20,E17_0_1,4,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2100
MPID0126030014090,mathpd29266031857093696,2021-08-18,E17_0_1,2,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1900
MPID0129050016470,mathpd31947207710044956,2021-09-18,E17_0_1,15,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,5600
MPID0129050016615,mathpd27886354653800961,2021-08-02,E17_0_1,6,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2800
MPID0203100018443,mathpd30020372363679454,2021-08-27,E17_0_1,13,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1700
MPID0319100030328,mathpd27558697847043670,2021-07-29,E17_0_1,8,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1900
MPID0319100030328,mathpd27558780785273101,2021-07-29,E17_0_1,12,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2300
MPID0319100030328,mathpd27558780785273101,2021-07-29,E17_0_1,16,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2500
MPID0319100030328,mathpd27558780785273101,2021-07-29,E17_0_1,29,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2300
MPID0330100032185,mathpd27363819538306060,2021-07-27,E17_0_1,9,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2900
MPID0330100033152,mathpd27641412811287004,2021-07-30,E17_0_1,6,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2100
MPID0330100033689,mathpd29256477125158669,2021-08-18,E17_0_1,1,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,900
MPID0406110033988,mathpd26776498872358484,2021-07-20,E17_0_1,10,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,3000
MPID0406110034324,mathpd30580089547799080,2021-09-02,E17_0_1,13,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,5900
MPID0420140036805,mathpd31700971195379325,2021-09-15,E17_0_1,16,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1900
MPID0420140036805,mathpd32009591496098421,2021-09-19,E17_0_1,8,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2700
MPID0420140036805,mathpd32009591496098421,2021-09-19,E17_0_1,19,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2900
MPID0420140036805,mathpd32009591496098421,2021-09-19,E17_0_1,36,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,5700
MPID0629110045551,mathpd29208301036179059,2021-08-17,E17_0_1,9,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2400
MPID0629110045635,mathpd28209315086169184,2021-08-06,E17_0_1,10,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,3000
MPID0629110045635,mathpd28677607664649677,2021-08-11,E17_0_1,6,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2400
MPID0713100047089,mathpd34217384562522716,2021-10-14,E17_0_1,19,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1700
MPID0729130048717,mathpd31615604139158913,2021-09-14,E17_0_1,18,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1800
MPID0729130050003,mathpd31000568851855533,2021-09-07,E17_0_1,19,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2000
MPID0902170062271,mathpd32928403937118106,2021-09-30,E17_0_1,16,E17010001,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1500
MPID0120060009320,mathpd28306269920398604,2021-08-07,E17_0_2,8,E17010001a,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,3600
MPID0204130020792,mathpd29262125766700234,2021-08-18,E17_0_2,2,E17010001a,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2800
MPID0225100025733,mathpd29617763998813116,2021-08-22,E17_0_2,4,E17010001a,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1800
MPID0330100032185,mathpd27371797864067089,2021-07-27,E17_0_2,4,E17010001a,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,3000
MPID0330100033689,mathpd29363851275255772,2021-08-19,E17_0_2,4,E17010001a,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1100
MPID0406110033988,mathpd26776761105186909,2021-07-20,E17_0_2,17,E17010001a,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1900
MPID0406110033988,mathpd26776761105186909,2021-07-20,E17_0_2,32,E17010001a,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,2100
MPID0420140036945,mathpd29252580208775895,2021-08-18,E17_0_2,1,E17010001a,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,1500
MPID0420140036945,mathpd29252654549863823,2021-08-18,E17_0_2,6,E17010001a,다음을 계산하세요.,2 \times 1 = \boxed{\phantom{2}},2,Y,3000
